Identificação,Operação Comercial
Torre CC1,-
Torre CC2,-
Torre CC3,-
CC1-01,20/01/12
CC1-02,09/01/12
CC1-03,09/01/12
CC1-04,20/01/12
CC1-05,09/01/12
CC1-06,09/01/12
CC1-07,09/01/12
CC1-08,09/01/12
CC1-09,09/01/12
CC1-10,09/01/12
CC1-11,09/01/12
CC1-12,09/01/12
CC1-13,09/01/12
CC1-14,09/01/12
CC1-15,09/01/12
CC2-01,02/01/12
CC2-02,22/11/11
CC2-03,17/01/12
CC2-04,22/11/11
CC2-05,24/11/11
CC2-06,22/11/11
CC2-07,20/10/11
CC2-08,20/10/11
CC2-09,20/10/11
CC2-10,20/10/11
CC2-11,31/10/11
CC2-12,23/09/11
CC2-13,23/09/11
CC2-14,23/09/11
CC2-15,22/08/11
CC3-01,07/06/11
CC3-02,07/06/11
CC3-03,07/06/11
CC3-04,07/06/11
CC3-05,07/06/11
CC3-06,28/06/11
CC3-07,28/06/11
CC3-08,28/06/11
CC3-09,07/07/11
CC3-10,07/07/11
CC3-11,19/07/11
CC3-12,19/07/11
CC3-13,19/07/11
CC3-14,19/07/11
CC3-15,09/08/11
