data,hora,erro,hPa,tp,ur,vs_med,vs_max,vs_min,vs_dev,ds_med,ds_dev,vi_med,vi_max,vi_min,vi_dev,di_med,di_dev,vm_med,vm_max,vm_min,vm_dev
2018-05-23 00:00:00,0,0,980,11.6,61.5,4.5,4.89,4.24,0.17,193,1,4.86,5.17,4.57,0.14,187,1,4.53,4.95,4.21,0.17
2018-05-23 00:10:00,1000,0,980,11.6,61.5,5.12,5.39,4.75,0.12,189,1,5.17,5.49,4.94,0.09,182,1,4.46,4.99,4.12,0.22
2018-05-23 00:20:00,2000,0,980,11.6,60.8,5.2,5.44,5.03,0.06,188,0,5.28,5.44,5.03,0.08,182,0,4.4,4.86,4.21,0.1
2018-05-23 00:30:00,3000,0,980,11.6,60.8,5.04,5.21,4.84,0.06,190,1,4.93,5.26,4.71,0.14,183,0,4.79,5.13,4.44,0.16
2018-05-23 00:40:00,4000,0,980,11.6,59.2,4.92,5.12,4.75,0.06,192,1,4.78,4.94,4.62,0.06,184,1,4.96,5.13,4.81,0.05
2018-05-23 00:50:00,5000,0,980,11.6,57.9,4.61,4.93,4.33,0.14,199,2,4.6,4.94,4.29,0.16,188,1,4.66,4.99,4.39,0.14
2018-05-23 01:00:00,10000,0,980,11.6,58.8,4.36,4.52,4.19,0.06,203,1,4.46,4.66,4.2,0.08,193,1,4.41,4.58,4.26,0.06
2018-05-23 01:10:00,11000,0,980,11.5,59.5,4.2,4.43,3.92,0.12,203,2,4.16,4.66,3.83,0.25,194,1,4.25,4.49,3.98,0.13
2018-05-23 01:20:00,12000,0,980,11.5,60.5,4.01,4.19,3.73,0.1,202,2,3.9,4.11,3.6,0.12,196,1,4.06,4.3,3.79,0.1
2018-05-23 01:30:00,13000,0,980,11.4,62.6,3.69,3.87,3.59,0.05,198,1,3.71,3.97,3.42,0.1,194,1,3.74,3.93,3.61,0.05
2018-05-23 01:40:00,14000,0,980,11.4,63.8,3.72,3.87,3.64,0.04,197,1,3.94,4.43,3.56,0.14,194,1,3.77,3.89,3.66,0.04
2018-05-23 01:50:00,15000,0,980,11.4,64,3.54,3.83,3.32,0.13,197,2,3.67,4.02,3.42,0.1,192,2,3.59,3.84,3.33,0.13
2018-05-23 02:00:00,20000,0,980,11.3,64.4,3.39,3.64,3.13,0.11,193,1,3.53,4.34,3.01,0.25,188,1,3.42,3.66,3.15,0.12
2018-05-23 02:10:00,21000,0,981,11.3,64,3.2,3.32,3.09,0.04,201,4,3.22,3.83,2.91,0.13,196,4,3.24,3.38,3.1,0.05
2018-05-23 02:20:00,22000,0,981,11.3,63.8,3.03,3.27,2.86,0.08,202,2,3.81,5.08,3.01,0.47,198,2,3.08,3.29,2.92,0.08
2018-05-23 02:30:00,23000,0,980,11.2,63.6,2.9,2.99,2.81,0.04,204,0,5.17,5.63,4.34,0.26,200,1,2.95,3.06,2.83,0.04
2018-05-23 02:40:00,24000,0,980,11.2,63.6,2.98,3.13,2.86,0.04,206,0,5.75,6.22,5.26,0.19,202,0,3.02,3.15,2.92,0.04
2018-05-23 02:50:00,25000,0,980,11.1,63.4,2.85,3.13,2.67,0.1,214,5,5.46,6.22,5.12,0.27,210,6,2.9,3.15,2.73,0.1
2018-05-23 03:00:00,30000,0,981,11,64.1,2.78,2.9,2.67,0.04,226,1,5.34,5.58,5.12,0.07,221,2,2.84,2.96,2.73,0.04
2018-05-23 03:10:00,31000,0,980,10.9,64.7,2.77,2.9,2.63,0.05,226,1,5.39,5.67,5.08,0.1,226,1,2.82,2.96,2.69,0.05
2018-05-23 03:20:00,32000,0,980,10.9,65.4,2.64,2.76,2.53,0.04,223,1,5.16,5.49,4.94,0.11,223,2,2.69,2.83,2.55,0.04
2018-05-23 03:30:00,33000,0,980,10.8,65.7,2.45,2.67,2.21,0.12,219,2,4.73,5.21,4.2,0.25,218,2,2.51,2.73,2.27,0.11
2018-05-23 03:40:00,34000,0,980,10.8,66.1,2.37,2.53,2.16,0.09,213,1,4.29,4.57,4.11,0.08,211,2,2.41,2.6,2.23,0.09
2018-05-23 03:50:00,35000,0,980,10.8,66.3,2.54,2.81,2.39,0.1,210,2,4.41,4.66,4.2,0.09,206,2,2.58,2.83,2.41,0.09
2018-05-23 04:00:00,40000,0,980,10.8,65.8,3.01,3.32,2.67,0.18,204,3,5.11,5.67,4.57,0.19,197,3,3.04,3.33,2.73,0.16
2018-05-23 04:10:00,41000,0,980,10.8,64.3,3.21,3.32,3.13,0.04,195,1,5.35,5.58,5.12,0.07,188,2,3.23,3.38,3.1,0.04
2018-05-23 04:20:00,42000,0,980,10.8,62.7,3.51,3.83,3.18,0.18,198,1,5.61,6.04,5.12,0.26,193,1,3.53,3.84,3.19,0.19
2018-05-23 04:30:00,43000,0,980,10.9,61.1,3.55,3.83,3.32,0.11,201,1,5.53,5.86,5.21,0.14,197,2,3.59,3.84,3.38,0.11
2018-05-23 04:40:00,44000,0,980,10.8,61.1,3.59,3.78,3.32,0.12,194,3,5.77,6.32,5.03,0.36,191,2,3.61,3.79,3.38,0.1
2018-05-23 04:50:00,45000,0,980,10.8,61.3,3.66,3.78,3.55,0.05,189,1,6.2,6.41,5.95,0.09,187,0,3.38,3.7,3.01,0.18
2018-05-23 05:00:00,50000,0,980,10.8,62.1,3.58,3.73,3.45,0.05,199,2,6.83,7.24,6.22,0.22,188,1,3.62,3.75,3.47,0.05
2018-05-23 05:10:00,51000,0,980,10.8,61.6,3.6,3.73,3.5,0.04,202,1,6.75,7.33,6.09,0.29,190,3,3.64,3.79,3.52,0.04
2018-05-23 05:20:00,52000,0,980,10.8,61.8,3.88,4.15,3.59,0.13,202,1,6.96,7.6,6.27,0.32,199,1,3.92,4.16,3.61,0.14
2018-05-23 05:30:00,53000,0,980,10.8,61.5,3.97,4.15,3.78,0.08,201,1,7.47,7.88,6.87,0.21,201,1,4.02,4.21,3.84,0.07
2018-05-23 05:40:00,54000,0,980,10.8,61.1,3.79,3.96,3.64,0.05,201,2,7.5,7.97,6.96,0.2,203,2,3.84,3.98,3.66,0.05
2018-05-23 05:50:00,55000,0,980,10.7,60.9,3.85,4.19,3.64,0.12,207,1,7.83,8.25,7.56,0.11,207,1,3.88,4.21,3.66,0.11
2018-05-23 06:00:00,60000,0,981,10.8,60.1,4.08,4.24,3.83,0.09,206,1,7.64,7.97,7.24,0.12,204,1,4.1,4.3,3.84,0.09
2018-05-23 06:10:00,61000,0,981,10.8,60,3.94,4.24,3.78,0.11,203,2,7.13,7.6,6.82,0.15,200,2,3.96,4.26,3.79,0.11
2018-05-23 06:20:00,62000,0,981,10.7,60.5,3.93,4.1,3.78,0.07,200,0,6.78,7.24,6.32,0.19,195,1,3.97,4.16,3.75,0.08
2018-05-23 06:30:00,63000,0,981,10.7,60.1,3.87,4.01,3.69,0.06,194,3,7.18,7.79,6.41,0.3,185,4,3.85,4.07,3.24,0.17
2018-05-23 06:40:00,64000,0,981,10.7,59.7,4.03,4.19,3.78,0.06,182,3,7.69,8.16,7.14,0.18,174,3,4,4.35,3.19,0.25
2018-05-23 06:50:00,65000,0,981,10.7,59.6,4.19,4.33,4.05,0.05,177,2,8.32,8.71,7.93,0.13,172,2,4.05,4.3,3.29,0.18
2018-05-23 07:00:00,70000,0,981,10.6,59,3.97,4.29,3.59,0.15,175,2,7.71,8.52,6.87,0.4,170,2,3.7,4.03,3.15,0.19
2018-05-23 07:10:00,71000,0,981,10.7,58.4,3.58,3.83,3.36,0.08,180,2,6.97,7.42,6.59,0.16,175,1,3.59,3.79,3.19,0.09
2018-05-23 07:20:00,72000,0,981,10.7,58.8,3.26,3.55,2.99,0.09,179,2,6.44,6.96,6.04,0.14,178,1,3.29,3.56,2.96,0.1
2018-05-23 07:30:00,73000,0,981,10.7,59.3,3.22,3.55,2.81,0.19,176,2,6.32,6.78,5.81,0.2,177,1,3.19,3.56,2.18,0.28
2018-05-23 07:40:00,74000,0,981,10.8,61,2.95,3.18,2.76,0.08,171,2,5.31,6.22,2.91,0.9,173,3,2.54,3.01,1.81,0.22
