Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2001-11-21
Data Final: 2020-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-11-30;1;null;null;null;null;null;
2001-12-31;9;66.4;973.611448;21.022154;6.5;2.592812;
2002-01-31;9;88.8;973.07985;22.962743;8.1;2.582557;
2002-02-28;8;null;null;22.510687;6.5;null;
2002-03-31;21;368.8;973.534407;22.920735;8.3;2.752916;
2002-04-30;18;204.6;976.4798;17.107925;7.7;2.382832;
2002-05-31;15;158.8;976.968079;16.3454;8.6;2.817195;
2002-06-30;10;93.8;980.662256;11.017911;9.7;2.813804;
2002-07-31;12;152;979.613859;11.634767;7.7;2.471342;
2002-08-31;2;null;null;null;null;null;
2002-09-30;10;null;977.222139;14.450627;7.7;2.577625;
2002-10-31;21;298.2;973.789987;18.73012;9.3;3.06495;
2002-11-30;9;199;973.420146;19.72514;10.4;2.955522;
2002-12-31;12;392;973.408029;21.366458;9.1;2.860583;
2003-01-31;2;null;null;23.491984;null;null;
2003-02-28;15;null;973.510832;23.34563;null;null;
2003-03-31;15;null;974.996558;20.439788;7.5;null;
2003-04-30;7;null;null;17.687745;7.7;null;
2003-05-31;10;156.8;978.722422;14.891918;10;2.301094;
2003-06-30;17;null;977.564365;13.577558;9.3;2.598533;
2003-07-31;11;48.8;980.705168;11.363534;13;2.836745;
2003-08-31;13;133.8;981.603362;11.264923;12.1;3.123027;
2003-09-30;12;70.8;978.844603;14.016925;9.3;3.378479;
2003-10-31;9;80.6;976.637111;17.926789;null;null;
2003-11-30;10;174.8;973.329299;19.319583;null;null;
2003-12-31;9;221.8;973.553006;19.682579;11.1;2.837336;
2004-01-31;4;34.8;973.337652;23.577072;8;3.035179;
2004-02-29;5;71.4;976.07691;21.76299;7;2.935236;
2004-03-31;6;58.2;976.492576;21.311171;7.3;2.851028;
2004-04-30;11;169.4;975.954686;19.706165;11.4;2.892319;
2004-05-31;16;77;980.79145;12.471616;10;3.225584;
2004-06-30;18;93.8;979.648366;13.224355;8.5;2.999291;
2004-07-31;10;64.8;980.60014;11.109859;10;3.431102;
2004-08-31;10;17.2;980.566201;13.648757;10.7;3.100582;
2004-09-30;11;133.6;977.911731;15.752988;11.4;4.262823;
2004-10-31;7;122;975.994793;16.612681;8.4;3.18272;
2004-11-30;10;161;974.510008;18.613801;9.5;2.992186;
