data,vel_ecc1_c2
2018-09-23 00:00:00,9.18
2018-09-23 00:10:00,9.66
2018-09-23 00:20:00,11.61
2018-09-23 00:30:00,13.94
2018-09-23 00:40:00,12.95
2018-09-23 00:50:00,11.42
2018-09-23 01:00:00,10.71
2018-09-23 01:10:00,10.44
2018-09-23 01:20:00,10.03
2018-09-23 01:30:00,8.43
2018-09-23 01:40:00,8.14
2018-09-23 01:50:00,7.5
2018-09-23 02:00:00,6.0
2018-09-23 02:10:00,14.36
2018-09-23 02:20:00,20.68
2018-09-23 02:30:00,22.87
2018-09-23 02:40:00,20.36
2018-09-23 02:50:00,15.96
2018-09-23 03:00:00,13.65
2018-09-23 03:10:00,11.03
2018-09-23 03:20:00,11.17
2018-09-23 03:30:00,11.01
2018-09-23 03:40:00,11.0
2018-09-23 03:50:00,10.17
2018-09-23 04:00:00,11.48
2018-09-23 04:10:00,11.92
2018-09-23 04:20:00,11.84
2018-09-23 04:30:00,12.09
2018-09-23 04:40:00,13.77
2018-09-23 04:50:00,14.44
2018-09-23 05:00:00,12.4
2018-09-23 05:10:00,14.73
2018-09-23 05:20:00,15.65
2018-09-23 05:30:00,13.58
2018-09-23 05:40:00,12.41
2018-09-23 05:50:00,13.64
2018-09-23 06:00:00,15.0
2018-09-23 06:10:00,13.69
2018-09-23 06:20:00,14.15
2018-09-23 06:30:00,14.76
2018-09-23 06:40:00,14.61
2018-09-23 06:50:00,14.63
2018-09-23 07:00:00,14.38
2018-09-23 07:10:00,15.44
2018-09-23 07:20:00,14.4
2018-09-23 07:30:00,13.52
2018-09-23 07:40:00,11.4
2018-09-23 07:50:00,9.42
2018-09-23 08:00:00,7.32
2018-09-23 08:10:00,9.51
2018-09-23 08:20:00,14.67
2018-09-23 08:30:00,16.77
2018-09-23 08:40:00,17.56
2018-09-23 08:50:00,16.13
2018-09-23 09:00:00,9.48
2018-09-23 09:10:00,14.14
2018-09-23 09:20:00,13.47
2018-09-23 09:30:00,16.91
2018-09-23 09:40:00,16.25
2018-09-23 09:50:00,15.452638832313648
2018-09-23 10:00:00,17.58
2018-09-23 10:10:00,17.9
2018-09-23 10:20:00,17.04
2018-09-23 10:30:00,16.67
2018-09-23 10:40:00,17.57
2018-09-23 10:50:00,17.91
2018-09-23 11:00:00,18.11
2018-09-23 11:10:00,18.33
2018-09-23 11:20:00,18.06
2018-09-23 11:30:00,15.71
2018-09-23 11:40:00,13.61
2018-09-23 11:50:00,12.9
2018-09-23 12:00:00,13.14
2018-09-23 12:10:00,15.14
2018-09-23 12:20:00,17.31
2018-09-23 12:30:00,16.89
2018-09-23 12:40:00,16.48
2018-09-23 12:50:00,13.73
2018-09-23 13:00:00,16.27
2018-09-23 13:10:00,19.24
2018-09-23 13:20:00,16.8
2018-09-23 13:30:00,15.85
2018-09-23 13:40:00,16.96
2018-09-23 13:50:00,17.14
2018-09-23 14:00:00,17.18
2018-09-23 14:10:00,17.37
2018-09-23 14:20:00,17.02
2018-09-23 14:30:00,18.2
2018-09-23 14:40:00,18.98
2018-09-23 14:50:00,19.28
2018-09-23 15:00:00,18.79
2018-09-23 15:10:00,17.43
2018-09-23 15:20:00,16.28
2018-09-23 15:30:00,16.86
2018-09-23 15:40:00,18.46
2018-09-23 15:50:00,17.23
2018-09-23 16:00:00,16.01
2018-09-23 16:10:00,14.51
2018-09-23 16:20:00,13.89
2018-09-23 16:30:00,14.08
2018-09-23 16:40:00,14.42
2018-09-23 16:50:00,12.91
2018-09-23 17:00:00,14.97
2018-09-23 17:10:00,13.7
2018-09-23 17:20:00,15.55
2018-09-23 17:30:00,16.73
2018-09-23 17:40:00,16.4
2018-09-23 17:50:00,15.83
2018-09-23 18:00:00,14.01
2018-09-23 18:10:00,13.61
2018-09-23 18:20:00,14.94
2018-09-23 18:30:00,16.72
2018-09-23 18:40:00,18.28
2018-09-23 18:50:00,16.11
2018-09-23 19:00:00,14.13
2018-09-23 19:10:00,15.09
2018-09-23 19:20:00,14.65
2018-09-23 19:30:00,14.36
2018-09-23 19:40:00,15.02
2018-09-23 19:50:00,14.71
2018-09-23 20:00:00,14.49
2018-09-23 20:10:00,14.65
2018-09-23 20:20:00,14.27
2018-09-23 20:30:00,14.98
2018-09-23 20:40:00,16.02
2018-09-23 20:50:00,16.01
2018-09-23 21:00:00,15.92
2018-09-23 21:10:00,14.87
2018-09-23 21:20:00,13.97
2018-09-23 21:30:00,14.13
2018-09-23 21:40:00,13.47
2018-09-23 21:50:00,13.7
2018-09-23 22:00:00,13.89
2018-09-23 22:10:00,12.8
2018-09-23 22:20:00,9.84
2018-09-23 22:30:00,9.08
2018-09-23 22:40:00,8.98
2018-09-23 22:50:00,10.06
2018-09-23 23:00:00,11.04
2018-09-23 23:10:00,12.56
2018-09-23 23:20:00,10.86
2018-09-23 23:30:00,9.99
2018-09-23 23:40:00,9.48
2018-09-23 23:50:00,10.12
2018-09-24 00:00:00,9.75
2018-09-24 00:10:00,10.72
2018-09-24 00:20:00,10.09
2018-09-24 00:30:00,7.79
2018-09-24 00:40:00,8.42
2018-09-24 00:50:00,7.96
2018-09-24 01:00:00,8.11
2018-09-24 01:10:00,7.79
2018-09-24 01:20:00,9.29
2018-09-24 01:30:00,8.32
2018-09-24 01:40:00,7.66
2018-09-24 01:50:00,8.77
2018-09-24 02:00:00,14.76
2018-09-24 02:10:00,14.93
2018-09-24 02:20:00,9.94
2018-09-24 02:30:00,11.59
2018-09-24 02:40:00,12.2
2018-09-24 02:50:00,8.69
2018-09-24 03:00:00,7.66
2018-09-24 03:10:00,7.79
2018-09-24 03:20:00,9.79
2018-09-24 03:30:00,10.12
2018-09-24 03:40:00,12.38
2018-09-24 03:50:00,11.13
2018-09-24 04:00:00,9.97
2018-09-24 04:10:00,13.11
2018-09-24 04:20:00,12.28
2018-09-24 04:30:00,11.83
2018-09-24 04:40:00,11.44
2018-09-24 04:50:00,5.46
2018-09-24 05:00:00,10.83
2018-09-24 05:10:00,15.64
2018-09-24 05:20:00,15.12
2018-09-24 05:30:00,16.12
2018-09-24 05:40:00,15.79
2018-09-24 05:50:00,13.84
2018-09-24 06:00:00,11.07
2018-09-24 06:10:00,11.41
2018-09-24 06:20:00,11.8
2018-09-24 06:30:00,16.59
2018-09-24 06:40:00,13.17
2018-09-24 06:50:00,12.86
2018-09-24 07:00:00,11.27
2018-09-24 07:10:00,11.32
2018-09-24 07:20:00,12.35
2018-09-24 07:30:00,11.59
2018-09-24 07:40:00,10.55
2018-09-24 07:50:00,12.41
2018-09-24 08:00:00,13.68
2018-09-24 08:10:00,12.57
2018-09-24 08:20:00,11.06
2018-09-24 08:30:00,10.96
2018-09-24 08:40:00,11.02
2018-09-24 08:50:00,11.56
2018-09-24 09:00:00,10.58
2018-09-24 09:10:00,11.26
2018-09-24 09:20:00,11.34
2018-09-24 09:30:00,10.08
2018-09-24 09:40:00,9.04
2018-09-24 09:50:00,8.99
2018-09-24 10:00:00,8.2
2018-09-24 10:10:00,6.75
2018-09-24 10:20:00,7.0
2018-09-24 10:30:00,7.97
2018-09-24 10:40:00,7.97
2018-09-24 10:50:00,8.62
2018-09-24 11:00:00,8.84
2018-09-24 11:10:00,7.91
2018-09-24 11:20:00,7.89
2018-09-24 11:30:00,7.78
2018-09-24 11:40:00,8.01
2018-09-24 11:50:00,6.93
2018-09-24 12:00:00,6.72
2018-09-24 12:10:00,6.18
2018-09-24 12:20:00,5.66
2018-09-24 12:30:00,5.67
2018-09-24 12:40:00,6.38
2018-09-24 12:50:00,7.27
2018-09-24 13:00:00,7.19
2018-09-24 13:10:00,6.29
2018-09-24 13:20:00,6.47
2018-09-24 13:30:00,6.07
2018-09-24 13:40:00,6.36
2018-09-24 13:50:00,6.96
2018-09-24 14:00:00,6.51
2018-09-24 14:10:00,6.78
2018-09-24 14:20:00,10.19
2018-09-24 14:30:00,12.04
2018-09-24 14:40:00,13.75
2018-09-24 14:50:00,13.18
2018-09-24 15:00:00,10.8
2018-09-24 15:10:00,10.78
2018-09-24 15:20:00,12.14
2018-09-24 15:30:00,9.52
2018-09-24 15:40:00,10.69
2018-09-24 15:50:00,15.01
2018-09-24 16:00:00,15.62
2018-09-24 16:10:00,15.82
2018-09-24 16:20:00,13.58
2018-09-24 16:30:00,11.84
2018-09-24 16:40:00,12.29
2018-09-24 16:50:00,10.44
2018-09-24 17:00:00,10.35
2018-09-24 17:10:00,9.45
2018-09-24 17:20:00,8.82
2018-09-24 17:30:00,8.24
2018-09-24 17:40:00,6.52
2018-09-24 17:50:00,5.74
2018-09-24 18:00:00,6.05
2018-09-24 18:10:00,6.25
2018-09-24 18:20:00,5.36
2018-09-24 18:30:00,4.72
2018-09-24 18:40:00,4.73
2018-09-24 18:50:00,4.89
2018-09-24 19:00:00,5.64
2018-09-24 19:10:00,5.86
2018-09-24 19:20:00,5.22
2018-09-24 19:30:00,5.47
2018-09-24 19:40:00,5.4
2018-09-24 19:50:00,5.09
2018-09-24 20:00:00,4.78
2018-09-24 20:10:00,5.68
2018-09-24 20:20:00,7.52
2018-09-24 20:30:00,8.32
2018-09-24 20:40:00,9.23
2018-09-24 20:50:00,9.68
2018-09-24 21:00:00,9.78
2018-09-24 21:10:00,10.51
2018-09-24 21:20:00,9.39
2018-09-24 21:30:00,8.76
2018-09-24 21:40:00,9.56
2018-09-24 21:50:00,9.8
2018-09-24 22:00:00,9.73
2018-09-24 22:10:00,9.41
2018-09-24 22:20:00,8.83
2018-09-24 22:30:00,9.55
2018-09-24 22:40:00,9.7
2018-09-24 22:50:00,10.09
2018-09-24 23:00:00,9.3
2018-09-24 23:10:00,10.21
2018-09-24 23:20:00,10.55
2018-09-24 23:30:00,10.13
2018-09-24 23:40:00,10.79
2018-09-24 23:50:00,10.81
