codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A887,04/06/2020,00,13.3,13.3,13.2,,,,,,,1023.8,1023.8,1023.5,1.0,170,2.9,-1.67,0.0
A887,04/06/2020,01,13.1,13.3,13.1,,,,,,,1024.0,1024.0,1023.8,1.7,248,2.6,-2.02,0.0
A887,04/06/2020,02,13.5,13.5,13.1,,,,,,,1024.2,1024.3,1024.0,0.8,217,3.1,-2.14,0.0
A887,04/06/2020,03,13.2,13.5,13.2,,,,,,,1024.8,1024.8,1024.2,0.7,238,2.5,-2.06,0.0
A887,04/06/2020,04,12.4,13.3,12.4,,,,,,,1024.6,1024.9,1024.6,1.9,224,2.5,-3.06,0.0
A887,04/06/2020,05,11.9,12.6,11.9,,,,,,,1024.1,1024.6,1024.1,1.3,236,2.6,-2.81,0.0
A887,04/06/2020,06,12.2,12.2,11.7,,,,,,,1023.7,1024.1,1023.7,1.2,265,2.1,-3.17,0.0
A887,04/06/2020,07,12.4,12.4,12.0,,,,,,,1023.2,1023.7,1023.2,1.3,215,2.0,-1.93,0.0
A887,04/06/2020,08,12.4,12.5,12.3,,,,,,,1023.3,1023.3,1023.0,1.2,225,2.4,-1.22,0.0
A887,04/06/2020,09,12.3,12.4,12.3,,,,,,,1023.5,1023.5,1023.3,1.6,221,2.1,-1.84,0.0
A887,04/06/2020,10,12.0,12.3,11.8,,,,,,,1024.1,1024.1,1023.5,1.3,236,2.7,-2.89,0.0
A887,04/06/2020,11,12.1,12.1,11.7,,,,,,,1024.4,1024.4,1024.0,1.0,282,2.2,33.49,0.0
A887,04/06/2020,12,13.1,13.1,11.9,,,,,,,1024.6,1024.8,1024.4,1.2,206,1.6,301.2,0.0
A887,04/06/2020,13,16.0,16.4,13.1,,,,,,,1024.5,1024.7,1024.5,2.5,108,4.5,996.7,0.0
A887,04/06/2020,14,17.6,17.9,16.0,,,,,,,1024.1,1024.6,1024.1,5.2,92,9.6,916.6,0.0
A887,04/06/2020,15,18.4,18.9,17.6,,,,,,,1023.6,1024.1,1023.6,5.9,86,11.1,1538.,0.0
A887,04/06/2020,16,18.5,19.8,18.2,,,,,,,1022.9,1023.6,1022.8,6.9,80,11.3,1779.,0.0
A887,04/06/2020,17,18.5,18.8,18.4,,,,,,,1022.2,1022.9,1022.2,6.5,79,11.3,1176.,0.0
A887,04/06/2020,18,18.2,18.7,18.1,,,,,,,1021.6,1022.2,1021.6,6.4,82,10.6,852.8,0.0
A887,04/06/2020,19,18.4,19.1,18.1,,,,,,,1020.9,1021.6,1020.9,5.7,85,10.8,1161.,0.0
A887,04/06/2020,20,17.1,18.5,17.1,,,,,,,1020.9,1021.0,1020.8,4.6,86,10.7,308.4,0.0
A887,04/06/2020,21,16.3,17.1,16.3,,,,,,,1021.1,1021.1,1020.9,3.5,85,8.0,27.30,0.0
A887,04/06/2020,22,16.2,16.3,15.9,,,,,,,1021.6,1021.7,1021.1,4.5,74,8.7,-3.30,0.0
A887,04/06/2020,23,15.8,16.2,15.8,,,,,,,1021.8,1022.0,1021.6,3.9,82,8.7,-2.52,0.0
A887,05/06/2020,00,15.6,15.8,15.4,,,,,,,1021.7,1022.0,1021.7,3.9,75,7.7,-3.60,0.0
A887,05/06/2020,01,16.2,16.2,15.6,,,,,,,1021.6,1021.7,1021.5,4.9,71,8.9,-3.26,0.0
A887,05/06/2020,02,15.8,16.3,15.8,,,,,,,1021.7,1021.8,1021.4,4.2,70,8.1,-2.79,0.0
A887,05/06/2020,03,15.9,15.9,15.7,,,,,,,1021.3,1021.7,1021.2,3.5,85,8.3,-2.52,0.0
A887,05/06/2020,04,16.6,16.6,15.9,,,,,,,1020.9,1021.6,1020.9,4.4,87,8.3,-1.94,0.0
A887,05/06/2020,05,16.8,16.8,16.6,,,,,,,1020.6,1021.0,1020.6,3.6,87,7.2,-1.18,0.0
A887,05/06/2020,06,16.9,17.0,16.8,,,,,,,1020.0,1020.6,1019.9,4.1,80,7.9,-1.06,0.0
A887,05/06/2020,07,16.8,17.0,16.7,,,,,,,1018.2,1020.0,1018.2,6.0,75,10.9,-1.82,0.0
A887,05/06/2020,08,16.6,17.0,16.6,,,,,,,1019.0,1019.6,1018.2,4.3,67,11.0,-2.62,0.0
A887,05/06/2020,09,16.2,16.6,16.1,,,,,,,1019.3,1019.3,1018.9,3.9,73,7.6,-0.71,0.2
A887,05/06/2020,10,16.2,16.2,16.1,,,,,,,1018.2,1019.4,1018.2,5.3,65,8.9,-0.78,0.8
A887,05/06/2020,11,16.7,16.7,16.2,,,,,,,1018.4,1018.9,1018.1,5.9,51,9.7,5.725,0.0
A887,05/06/2020,12,16.6,16.8,16.6,,,,,,,1018.0,1018.4,1018.0,6.1,58,12.7,58.10,0.0
A887,05/06/2020,13,16.7,16.7,16.5,,,,,,,1017.8,1018.0,1017.6,8.5,49,14.6,133.4,0.0
A887,05/06/2020,14,17.2,17.2,16.7,,,,,,,1018.7,1018.7,1017.6,7.1,48,15.9,153.0,0.0
A887,05/06/2020,15,17.5,17.5,17.2,,,,,,,1017.7,1018.8,1017.6,8.1,49,14.3,154.2,0.0
A887,05/06/2020,16,17.0,17.5,16.9,,,,,,,1016.8,1018.1,1016.8,5.7,59,14.3,146.4,0.0
A887,05/06/2020,17,16.5,17.0,16.5,,,,,,,1016.7,1016.8,1016.6,5.4,56,11.1,166.0,0.0
A887,05/06/2020,18,16.4,16.5,16.3,,,,,,,1016.4,1016.7,1016.3,5.1,63,9.6,140.3,0.0
